"model","term","estimate","std.error","conf.low","conf.high","statistic","p.value"
"Food resources","cos(turn angle)",-0.728280908572704,0.0325603382138089,-0.792097998796212,-0.664463818349195,-22.3671174356487,8.22848498600453e-111
"Food resources","log(step length)",0.193353757793744,0.00717984190875904,0.179281526237885,0.207425989349603,26.9300856830653,9.76151717548252e-160
"Food resources","ETF abundance",-0.498075638443668,0.116010633882386,-0.725452302676806,-0.270698974210531,-4.29336192532686,1.75987775694235e-05
"Food resources","Soil water index (T15)",-0.419321765247215,0.312861443283749,-1.03251892623458,0.193875395740154,-1.3402794567655,0.180154507719249
"Food resources","ETF × SWI",-0.214054363260345,0.188865834594729,-0.584224596976114,0.156115870455423,-1.13336731187864,0.257060035289681
"Weather","cos(turn angle)",-0.720868736302819,0.0322342509556245,-0.784046707244469,-0.657690765361169,-22.3634399724444,8.93533087514387e-111
"Weather","log(step length)",0.175501041192569,0.00677602489770535,0.16222027643472,0.188781805950419,25.9002946184571,6.60899909164e-148
"Weather","Temperature (2m)",0.162613665522127,0.0574533083157951,0.0500072504304936,0.275220080613761,2.83036208512681,0.00464953517908986
"Weather","Precipitation",-0.00730837621570728,0.0240895167544933,-0.0545229614594884,0.0399062090280738,-0.303384094010274,0.761597165964671
"Weather","Wind speed (10m)",0.0317472879481408,0.023864799733715,-0.0150268600282017,0.0785214359244832,1.33029768958379,0.183420208121624
"Soil","cos(turn angle)",-0.724331382384252,0.032591749464617,-0.788210037528054,-0.66045272724045,-22.2243786934671,1.99625982512514e-109
"Soil","log(step length)",0.189612652246025,0.00720138051414183,0.175498205799339,0.203727098692712,26.3300421181287,8.68868025970181e-153
"Soil","Soil water index (T15)",-0.509007422842277,0.338938105127614,-1.17331390188065,0.155299056196098,-1.50177101701395,0.133156255854923
"Soil","Nitrogen",0.13574519771008,0.11331180485178,-0.0863418588226404,0.357832254242801,1.19797930928418,0.230925072073287
"Soil","Soil organic carbon",0.00639930851275258,0.0901184387946442,-0.170229585867727,0.183028202893232,0.0710099797371645,0.943389812861524
"Human activity","cos(turn angle)",-0.713662767102902,0.0325748767867339,-0.77750835240573,-0.649817181800074,-21.9083796318008,2.16135982674149e-106
"Human activity","log(step length)",0.194736066230597,0.0071974588389699,0.180629306126007,0.208842826335188,27.056225063243,3.22674135527053e-161
"Human activity","Population density",-1.16438458325921,0.732089352244541,-2.59925334712376,0.270484180605352,-1.59049517615476,0.111723232100354
"Human activity","THP",-0.176961316221853,0.050994399785667,-0.276908503214997,-0.0770141292287084,-3.47021078717729,0.000520050066891058
"Human activity","Single-season cropping",0.334435702091312,0.0666183380713134,0.203866158761624,0.465005245420999,5.02017480131831,5.16244796318032e-07
"Human activity","Double-season cropping",0.335158070554673,0.0677116010131447,0.202445771233363,0.467870369875982,4.94978800589295,7.4294361652418e-07
"Human activity","Multi-season cropping",-0.686066705365051,0.76905958212141,-2.19339578828844,0.821262377558336,-0.892085244517171,0.37234724317289
"Human activity","Glyphosate",0.027464459825166,0.0520760576240699,-0.0746027375748435,0.129531657225176,0.527391301842169,0.597921882570049
"Human activity","Propiconazole",0.3545024276701,0.103145207935617,0.152341534938396,0.556663320401805,3.43692581328044,0.000588356730383554
"Vegetation","cos(turn angle)",-0.707368785924391,0.0328490112286956,-0.771751664860386,-0.642985906988396,-21.5339445379245,7.48809200899864e-103
"Vegetation","log(step length)",0.210411966611017,0.00741363566219367,0.195881507718615,0.224942425503418,28.3817517070641,3.3969267803326e-177
"Vegetation","NDVI",-0.0299176931605164,0.0587461864099405,-0.145058102753076,0.0852227164320433,-0.50927038823841,0.61056271101143
"Vegetation","Common wheat crops",2.81693901918365,0.312491411649259,2.20446710687302,3.42941093149428,9.01445260308591,1.97856083121964e-19
"Vegetation","Barley crops",1.32798000009954,0.430576632636939,0.484065307546608,2.17189469265247,3.08418966437338,0.00204107428969261
"Vegetation","Maize crops",2.81963499677026,0.29771078312423,2.23613258403755,3.40313740950296,9.47105431378907,2.77033194809269e-21
"Vegetation","Potato crops",2.4764758669733,0.305771931636261,1.87717389348298,3.07577784046362,8.09909481789602,5.5369617352419e-16
"Vegetation","Sugar beet crops",3.15391088586457,0.310579780154221,2.54518570243592,3.76263606929321,10.1549137690112,3.15088599840103e-24
"Vegetation","Sunflower crops",2.82232766293735,0.414455671785717,2.010009473049,3.63464585282571,6.80972141309376,9.77879236222111e-12
"Vegetation","Pulses/Vegetables/Flowers",3.37579888169078,0.353330480694212,2.6832838648899,4.06831389849166,9.55422491447133,1.24512426517251e-21
"Vegetation","Other fodder crops",1.79357431331424,0.464115763246214,0.883924132694339,2.70322449393413,3.86449772955189,0.000111318025406125
"Vegetation","Woody shrublands",0.0536900897923872,0.483022213545597,-0.893016052489798,1.00039623207457,0.111154494113797,0.911493836376679
"Vegetation","Grasslands",2.5158398593562,0.286774865339069,1.9537714516203,3.0779082670921,8.77287434650729,1.74162350080525e-18
"Vegetation","Water",2.33391124605602,0.38294186701273,1.58335897853854,3.0844635135735,6.09468811614279,1.09651020106006e-09
"Vegetation","Glyphosate",-0.00853792454202274,0.0533572934740157,-0.113116298063627,0.096040448979582,-0.160014198362228,0.872869889658504
"Vegetation","Propiconazole",0.330204589857861,0.123747178482296,0.0876645768441099,0.572744602871612,2.66838075750633,0.0076217827948704
