"id","realized_breadth","potential_breadth","domain"
"5181",2.01868016318613,11.7872758785186,"food"
"5264",23.1038061369368,16.8994413853453,"food"
"5268",10.6378491509288,11.0746315027316,"food"
"5270",7.63526117389918,8.16364409704376,"food"
"5277",19.1332647175821,16.4568368097037,"food"
"5278",19.9830877337719,27.8947819801978,"food"
"5282",13.4738282597714,18.1021127109547,"food"
"5284",6.05596575595126,6.36365247784369,"food"
"5285",30.3686541247991,19.2379977298664,"food"
"5301",17.967247549084,38.935889348721,"food"
"5303",5.80224989677225,6.41252595514868,"food"
"5308",13.0607997861445,16.4818361134281,"food"
"5439",42.236027930918,20.8733511718779,"food"
"5181",16.6849628821224,16.3742089409548,"weather"
"5264",22.2268729229328,20.4467620295194,"weather"
"5268",19.6271653559931,16.8228578550868,"weather"
"5270",14.3683510750171,16.1303761937564,"weather"
"5277",17.1519175953865,14.7454650103773,"weather"
"5278",19.6773900917888,20.5608687104673,"weather"
"5282",14.2324518239327,13.4181347125888,"weather"
"5284",9.07411503953982,4.68156162633729,"weather"
"5285",20.9895023549069,19.3418781471911,"weather"
"5301",43.3042980031991,41.5042835727838,"weather"
"5303",30.8796206205352,29.2819968114178,"weather"
"5308",14.2775999145102,16.3178827652725,"weather"
"5439",17.2123876392914,15.3611102103771,"weather"
"5181",5.87259641372039,21.1677572566838,"soil"
"5264",30.6937296048701,25.7395284618032,"soil"
"5268",16.2956333181439,22.1016601653851,"soil"
"5270",18.0600580670064,17.8033657052796,"soil"
"5277",16.0227427903308,16.5890382537309,"soil"
"5278",21.2035000036328,26.2422137651664,"soil"
"5282",22.0812054614118,16.6785145095991,"soil"
"5284",6.84262038666131,10.2263109983456,"soil"
"5285",18.0642806317312,32.3800487733547,"soil"
"5301",33.8062998118932,52.1015433666855,"soil"
"5303",7.77249421119971,8.55933976913155,"soil"
"5308",12.6335243442324,17.446568023964,"soil"
"5439",43.0902855543219,29.9344430314424,"soil"
"5181",15.2880766447894,36.1184281601824,"humans"
"5264",52.2315018726004,62.4081010203824,"humans"
"5268",50.868187276289,43.9069968821802,"humans"
"5270",30.7989484711622,37.5361660067518,"humans"
"5277",21.5026012710442,31.5958849938958,"humans"
"5278",46.3992737877835,46.5344281393682,"humans"
"5282",23.0754541900695,31.4106400503379,"humans"
"5284",8.2980560871216,13.7673716168883,"humans"
"5285",27.0215962857143,78.487486865923,"humans"
"5301",67.1759330588239,82.3481300734606,"humans"
"5303",55.2197455607733,52.4620890146299,"humans"
"5308",5.85399746580325,33.6462702943304,"humans"
"5439",35.2286354496717,58.1896772572016,"humans"
"5181",10.6787346596539,26.3279947385594,"veg"
"5264",50.3009194538845,42.9618533436664,"veg"
"5268",27.3167693999808,21.609775110309,"veg"
"5270",15.1858081374929,35.0112581302566,"veg"
"5277",25.9876329862038,25.9992869533656,"veg"
"5278",46.6579226869276,39.4205551646809,"veg"
"5282",10.9597174144095,21.4310414893838,"veg"
"5284",8.16511613464558,8.1768221561249,"veg"
"5285",20.1159009261425,44.4100094143934,"veg"
"5301",51.2336894470133,43.4725684028728,"veg"
"5303",31.9651946949601,35.2093838230882,"veg"
"5308",6.55593242621714,36.1386912369287,"veg"
"5439",22.5501152598871,34.0872040262561,"veg"
