"variable","betweenIndR","CI_low","CI_high","withinIndR","niche_type","domain"
"etf_abundance_r",0.717471835662393,0.44887076259319,0.84836815035849,0.282528164337607,"Realized (RSP> 0.65)","food"
"swi_T15",0.830157334318146,0.634247229356248,0.90950681316844,0.169842665681854,"Realized (RSP> 0.65)","food"
"etf_abundance_r",0.126119807220048,0,0.431665722687302,0.873880192779952,"Potential (RSP> 0.65)","food"
"swi_T15",0,0,0.248083693683451,1,"Potential (RSP> 0.65)","food"
"temp_2m",0.369943618259148,0.122344434842035,0.564753057622366,0.630056381740852,"Realized (RSP> 0.65)","weather"
"t_precipitation",0.0244829503012599,0,0.129981818356256,0.97551704969874,"Realized (RSP> 0.65)","weather"
"wind_speed_10m",0.0300000389167329,0,0.128740606339743,0.969999961083267,"Realized (RSP> 0.65)","weather"
"temp_2m",0.549133629373763,0.0689910471845038,0.791702514807733,0.450866370626237,"Potential (RSP> 0.65)","weather"
"t_precipitation",0.0146864581247788,0,0.251429897973261,0.985313541875221,"Potential (RSP> 0.65)","weather"
"wind_speed_10m",0.00991194856514787,0,0.255901629392568,0.990088051434852,"Potential (RSP> 0.65)","weather"
"swi_T15",0.830157334318146,0.635976374482667,0.905490672825284,0.169842665681854,"Realized (RSP> 0.65)","soil"
"nitrog",0.654998943732929,0.370485138769226,0.799898525541856,0.345001056267071,"Realized (RSP> 0.65)","soil"
"org_carbon",0.797024182778941,0.572545770871882,0.889083853570331,0.202975817221059,"Realized (RSP> 0.65)","soil"
"swi_T15",0,0,0.23583621266168,1,"Potential (RSP> 0.65)","soil"
"nitrog",0.206751999390581,0,0.553468255399436,0.793248000609419,"Potential (RSP> 0.65)","soil"
"org_carbon",0.129412596716944,0,0.428051640305298,0.870587403283056,"Potential (RSP> 0.65)","soil"
"pop_dens",0.778097433462843,0.554344725280656,0.879455857375221,0.221902566537157,"Realized (RSP> 0.65)","humans"
"thp",0.281175572923767,0.0819258534921172,0.462950701558212,0.718824427076233,"Realized (RSP> 0.65)","humans"
"p_glyphosate",0.033332108319399,0,0.140783456769011,0.966667891680601,"Realized (RSP> 0.65)","humans"
"p_propiconazole",0,0,0.0774095273194893,1,"Realized (RSP> 0.65)","humans"
"pop_dens",0,0,0.2318870892437,1,"Potential (RSP> 0.65)","humans"
"thp",0,0,0.234137465196392,1,"Potential (RSP> 0.65)","humans"
"p_glyphosate",4.25214548159711e-20,4.25214548159711e-20,4.25214548159712e-20,1,"Potential (RSP> 0.65)","humans"
"p_propiconazole",0.00879502251393813,0,0.27814137057792,0.991204977486062,"Potential (RSP> 0.65)","humans"
"NDVI",0.415233540942966,0.137398165120554,0.610703161999952,0.584766459057034,"Realized (RSP> 0.65)","veg"
"p_glyphosate",0.033332108319399,0,0.146005990826371,0.966667891680601,"Realized (RSP> 0.65)","veg"
"p_propiconazole",0,0,0.0822098578690599,1,"Realized (RSP> 0.65)","veg"
"NDVI",0,0,0.246288590584995,1,"Potential (RSP> 0.65)","veg"
"p_glyphosate",4.25214548159711e-20,4.25214548159711e-20,4.25214548159712e-20,1,"Potential (RSP> 0.65)","veg"
"p_propiconazole",0.00879502251393813,0,0.280485812489716,0.991204977486062,"Potential (RSP> 0.65)","veg"
